"Total character count: 46,841,097",,,,,,
"Context number: 6,243",,,,,,
Character,CHRCount,CHR/million,logCHR,CHR-CD,CHR-CD%,logCHR-CD
我,2058980,43956.7,6.3137,6242,99.98,3.7953
的,1762079,37618.23,6.246,6243,100,3.7954
你,1444831,30845.37,6.1598,6242,99.98,3.7953
是,1172098,25022.86,6.069,6243,100,3.7954
了,993990,21220.47,5.9974,6243,100,3.7954
不,904675,19313.7,5.9565,6243,100,3.7954
们,701754,14981.59,5.8462,6243,100,3.7954
这,633842,13531.75,5.802,6243,100,3.7954
一,604056,12895.86,5.7811,6240,99.95,3.7952
他,564477,12050.89,5.7516,6242,99.98,3.7953
么,557804,11908.43,5.7465,6227,99.74,3.7943
在,546367,11664.27,5.7375,6242,99.98,3.7953
有,533631,11392.37,5.7272,6243,100,3.7954
个,452923,9669.35,5.656,6242,99.98,3.7953
好,412760,8811.92,5.6157,6242,99.98,3.7953
来,377902,8067.74,5.5774,6242,99.98,3.7953
人,373292,7969.33,5.572,6240,99.95,3.7952
那,365024,7792.81,5.5623,6239,99.94,3.7951
要,355730,7594.4,5.5511,6243,100,3.7954
会,321488,6863.37,5.5072,6242,99.98,3.7953
就,313793,6699.1,5.4966,6243,100,3.7954
什,307184,6558,5.4874,6239,99.94,3.7951
没,293874,6273.85,5.4682,6241,99.97,3.7953
到,290231,6196.08,5.4627,6243,100,3.7954
说,281841,6016.96,5.45,6243,100,3.7954
吗,253338,5408.46,5.4037,6136,98.29,3.7879
为,249231,5320.78,5.3966,6241,99.97,3.7953
想,247453,5282.82,5.3935,6241,99.97,3.7953
能,241617,5158.23,5.3831,6243,100,3.7954
上,236451,5047.94,5.3737,6240,99.95,3.7952
去,232346,4960.3,5.3661,6241,99.97,3.7953
道,230531,4921.55,5.3627,6241,99.97,3.7953
她,230468,4920.21,5.3626,6142,98.38,3.7883
很,219622,4688.66,5.3417,6240,99.95,3.7952
看,213974,4568.08,5.3304,6239,99.94,3.7951
可,212670,4540.24,5.3277,6239,99.94,3.7951
知,211542,4516.16,5.3254,6239,99.94,3.7951
得,208054,4441.7,5.3182,6239,99.94,3.7951
过,198278,4232.99,5.2973,6240,99.95,3.7952
吧,197159,4209.1,5.2948,6238,99.92,3.795
还,192389,4107.27,5.2842,6239,99.94,3.7951
对,191793,4094.55,5.2828,6236,99.89,3.7949
里,190694,4071.08,5.2803,6241,99.97,3.7953
以,184508,3939.02,5.266,6238,99.92,3.795
都,180587,3855.31,5.2567,6237,99.9,3.795
事,179716,3836.72,5.2546,6237,99.9,3.795
子,177693,3793.53,5.2497,6239,99.94,3.7951
生,162725,3473.98,5.2115,6237,99.9,3.795
时,162611,3471.55,5.2111,6240,99.95,3.7952
样,161409,3445.88,5.2079,6237,99.9,3.795
也,159926,3414.22,5.2039,6238,99.92,3.795
和,155937,3329.06,5.1929,6224,99.7,3.7941
下,153565,3278.42,5.1863,6239,99.94,3.7951
真,140928,3008.64,5.149,6235,99.87,3.7948
现,137777,2941.37,5.1392,6240,99.95,3.7952
做,136328,2910.44,5.1346,6229,99.78,3.7944
大,135159,2885.48,5.1308,6237,99.9,3.795
啊,131345,2804.05,5.1184,6126,98.13,3.7872
怎,129740,2769.79,5.1131,6236,99.89,3.7949
出,129404,2762.62,5.1119,6239,99.94,3.7951
点,128025,2733.18,5.1073,6237,99.9,3.795
起,127575,2723.57,5.1058,6238,99.92,3.795
天,127053,2712.43,5.104,6234,99.86,3.7948
把,126881,2708.75,5.1034,6234,99.86,3.7948
开,126802,2707.07,5.1031,6242,99.98,3.7953
让,125114,2671.03,5.0973,6230,99.79,3.7945
给,123887,2644.84,5.093,6235,99.87,3.7948
但,122236,2609.59,5.0872,6154,98.57,3.7892
谢,120668,2576.11,5.0816,6144,98.41,3.7885
着,117476,2507.97,5.0699,6225,99.71,3.7941
只,117406,2506.47,5.0697,6238,99.92,3.795
些,113122,2415.02,5.0535,6229,99.78,3.7944
如,113103,2414.61,5.0535,6234,99.86,3.7948
家,112387,2399.32,5.0507,6236,99.89,3.7949
后,109915,2346.55,5.0411,6218,99.6,3.7937
儿,105402,2250.2,5.0228,6066,97.16,3.7829
多,104049,2221.32,5.0172,6236,99.89,3.7949
意,103354,2206.48,5.0143,6238,99.92,3.795
别,102034,2178.3,5.0087,6232,99.82,3.7946
所,100444,2144.36,5.0019,6232,99.82,3.7946
话,99879,2132.29,4.9995,6226,99.73,3.7942
小,99468,2123.52,4.9977,6229,99.78,3.7944
自,98698,2107.08,4.9943,6233,99.84,3.7947
回,92711,1979.27,4.9671,6233,99.84,3.7947
然,91514,1953.71,4.9615,6232,99.82,3.7946
果,91471,1952.79,4.9613,6216,99.57,3.7935
发,87630,1870.79,4.9427,6226,99.73,3.7942
见,85723,1830.08,4.9331,6220,99.63,3.7938
心,83418,1780.87,4.9213,6225,99.71,3.7941
走,82765,1766.93,4.9178,6216,99.57,3.7935
定,81657,1743.28,4.912,6219,99.62,3.7937
听,81570,1741.42,4.9115,6221,99.65,3.7939
觉,81155,1732.56,4.9093,6180,98.99,3.791
太,80890,1726.9,4.9079,6200,99.31,3.7924
该,80641,1721.59,4.9066,6222,99.66,3.7939
当,80228,1712.77,4.9043,6220,99.63,3.7938
经,80207,1712.32,4.9042,6214,99.54,3.7934
妈,79529,1697.85,4.9005,5318,85.18,3.7257
用,79299,1692.94,4.8993,6222,99.66,3.7939
打,79262,1692.15,4.8991,6203,99.36,3.7926
地,78129,1667.96,4.8928,6211,99.49,3.7932
再,78039,1666.04,4.8923,6230,99.79,3.7945
因,77540,1655.38,4.8895,6201,99.33,3.7925
呢,77341,1651.14,4.8884,6196,99.25,3.7921
女,76693,1637.3,4.8848,6088,97.52,3.7845
告,76599,1635.29,4.8842,6197,99.26,3.7922
最,75999,1622.49,4.8808,6220,99.63,3.7938
手,75608,1614.14,4.8786,6186,99.09,3.7914
前,75236,1606.2,4.8764,6219,99.62,3.7937
找,73582,1570.89,4.8668,6139,98.33,3.7881
行,73109,1560.79,4.864,6201,99.33,3.7925
快,72900,1556.33,4.8627,6145,98.43,3.7885
而,72462,1546.97,4.8601,6156,98.61,3.7893
死,71256,1521.23,4.8528,6029,96.57,3.7802
先,71253,1521.16,4.8528,6128,98.16,3.7873
像,71186,1519.73,4.8524,6153,98.56,3.7891
等,71184,1519.69,4.8524,6178,98.96,3.7908
被,70119,1496.95,4.8458,6158,98.64,3.7894
从,69789,1489.91,4.8438,6209,99.46,3.793
明,69749,1489.06,4.8435,6202,99.34,3.7925
中,69745,1488.97,4.8435,6167,98.78,3.7901
哦,69380,1481.18,4.8412,5428,86.95,3.7346
情,69279,1479.02,4.8406,6178,98.96,3.7908
作,68168,1455.3,4.8336,6143,98.4,3.7884
跟,67347,1437.78,4.8283,5897,94.46,3.7706
面,67015,1430.69,4.8262,6200,99.31,3.7924
诉,65753,1403.75,4.8179,6150,98.51,3.7889
爱,65256,1393.14,4.8146,5978,95.76,3.7766
已,65079,1389.36,4.8134,6184,99.05,3.7913
之,64755,1382.44,4.8113,6164,98.73,3.7899
问,64375,1374.33,4.8087,6140,98.35,3.7882
错,63231,1349.9,4.8009,6180,98.99,3.791
孩,62601,1336.45,4.7966,5876,94.12,3.7691
斯,61882,1321.1,4.7916,4136,66.25,3.6166
成,61348,1309.7,4.7878,6175,98.91,3.7906
它,61272,1308.08,4.7873,5950,95.31,3.7745
感,61054,1303.43,4.7857,6131,98.21,3.7875
干,60971,1301.66,4.7851,6156,98.61,3.7893
法,60750,1296.94,4.7835,6091,97.57,3.7847
电,60278,1286.86,4.7802,5807,93.02,3.764
间,60047,1281.93,4.7785,6174,98.89,3.7906
哪,59479,1269.8,4.7744,6176,98.93,3.7907
西,59024,1260.09,4.771,6124,98.09,3.787
己,58674,1252.62,4.7684,6163,98.72,3.7898
候,58337,1245.42,4.7659,6169,98.81,3.7902
次,58108,1240.53,4.7642,6183,99.04,3.7912
信,57928,1236.69,4.7629,6108,97.84,3.7859
欢,57817,1234.32,4.7621,6024,96.49,3.7799
正,57215,1221.47,4.7575,6186,99.09,3.7914
实,57010,1217.09,4.756,6151,98.53,3.7889
关,55693,1188.98,4.7458,6152,98.54,3.789
进,55676,1188.61,4.7457,6142,98.38,3.7883
车,55587,1186.71,4.745,5469,87.6,3.7379
年,54824,1170.43,4.739,6051,96.92,3.7818
喜,54432,1162.06,4.7359,5972,95.66,3.7761
认,54322,1159.71,4.735,6063,97.12,3.7827
克,53663,1145.64,4.7297,4233,67.8,3.6266
爸,53025,1132.02,4.7245,4326,69.29,3.6361
谁,52864,1128.58,4.7232,6153,98.56,3.7891
方,52743,1126,4.7222,6142,98.38,3.7883
老,52688,1124.82,4.7217,5950,95.31,3.7745
应,52206,1114.53,4.7177,6138,98.32,3.788
比,51838,1106.68,4.7146,6051,96.92,3.7818
帮,51013,1089.07,4.7077,6026,96.52,3.78
无,50908,1086.82,4.7068,6122,98.06,3.7869
晚,50512,1078.37,4.7034,5876,94.12,3.7691
动,49274,1051.94,4.6926,6044,96.81,3.7813
头,49069,1047.56,4.6908,6092,97.58,3.7848
机,48902,1044,4.6893,5953,95.35,3.7747
分,48396,1033.2,4.6848,6077,97.34,3.7837
特,48225,1029.54,4.6833,5470,87.62,3.738
相,47856,1021.67,4.6799,6109,97.85,3.786
全,47545,1015.03,4.6771,6060,97.07,3.7825
杀,47122,1006,4.6732,4962,79.48,3.6957
需,46611,995.09,4.6685,6013,96.32,3.7791
放,46528,993.32,4.6677,6122,98.06,3.7869
常,46383,990.22,4.6664,5998,96.08,3.778
直,46163,985.52,4.6643,6143,98.4,3.7884
才,46044,982.98,4.6632,6153,98.56,3.7891
美,45561,972.67,4.6586,5818,93.19,3.7648
于,45429,969.85,4.6573,6064,97.13,3.7828
带,45283,966.74,4.6559,6062,97.1,3.7826
今,44976,960.18,4.653,5996,96.04,3.7779
力,44859,957.68,4.6518,6009,96.25,3.7788
